Dataset,Precision,Recall,F1-Score,AUC-PR
E-commerce,0.9968536969061353,0.5373471839445976,0.6982873410165756,0.6439398445093183
Credit Card,0.6253776435045317,0.8752642706131079,0.7295154185022027,0.8234469185864088
